"stid","dsid","name","area","edited","notes","type","avg_int","max_int","controls","Core.top","Biostratigraphic..pollen","Radiocarbon","Radiocarbon..average.of.two.or.more.dates","Deglaciation","Guess","Tephra","Radiocarbon..reservoir.correction","Extrapolated","Core.bottom","Annual.laminations..varves.","Interpolated","Other.dating.methods","Radiocarbon..calibrated","Sediment.stratigraphic","Ambrosia.rise","X23","European.settlement.horizon","Lead.210","Introduced.Pinus.rise","Tsuga.decline","Radiocarbon..calibrated.from.calendar.years","Radiocarbon..infinite","Heinrich.stadials","Interpolated..corrected.for.compaction","Stratigraphic","Picea.decline","Historical.fire","Historical.documentation","Biostratigraphic","Casuarina.rise","Caesium.137","Salsola.rise","Geochronologic","Marine.isotope.stage.event","X","Y","geometry"
7,7,"Three Pines Bog",10748.782682747,"NA","NA","NA",2143.33333333333,3430,4,1,1,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-80.116667,47,"c(-80.116667, 47)"
24,24,"Alexander Lake",38,1,"Used paper & Google Maps.","Lacu",1907,1907,2,"NA","NA",1,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-60.583333,53.333333,"c(-60.583333, 53.333333)"
27,27,"Aliuk Pond",9.1,1,"Moved point based on map & site description in paper.","Lacu",4915,4915,2,"NA","NA",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-57.366667,54.583333,"c(-57.366667, 54.583333)"
208,209,"Lac à l'Ange",5.8,1,"Full site name is Petit lac Ã  l'Ange. Nudged site.","Lacu",1571.42857142857,3150,8,1,"NA",6,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-70.684722,47.481667,"c(-70.684722, 47.481667)"
217,219,"Lac des Atocas",0.6,1,"Minor move.","Lacu",2562.5,3275,5,1,"NA",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-73.311111,45.543056,"c(-73.311111, 45.543056)"
219,221,"Axe Lake",508.17,1,"Confirmed site with Google Earth, changed area","NA",2953.33333333333,4800,4,1,"NA",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.51,45.38,"c(-79.51, 45.38)"
233,236,"Baseball Bog",10.1217107099425,"NA","NA","NA",3203.33333333333,6340,4,1,1,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-79.78,47.23,"c(-79.78, 47.23)"
235,238,"Lac Bastien",19.23,2,"Confirmed site with publication (name might have changed since '87), changed area","NA",1911,2310,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-78.916667,46.4,"c(-78.916667, 46.4)"
248,253,"Bell's Lake",1.2,2,"Confirmed site with publication and Google Earth, changed area","NA",2046,3140,6,1,"NA",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-127.483333,65.016667,"c(-127.483333, 65.016667)"
252,258,"Bereziuk",3.22161408711803,"NA","NA","NA",1925,3230,5,1,"NA",3,"NA",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",-76.120278,54.047222,"c(-76.120278, 54.047222)"
