"stid","site.name","lat","long","area","type"
1665,"McDougall Pond",45.9455582134908,-60.4954024019876,234,"Lacu"
996,"Hebron Lake",58.132709561739,-63.6225087203181,173,"Lacu"
846,"Glacial Lake",64.8649003378805,-165.699800849633,111,"Lacu"
2955,"Head Lake",37.7084621176814,-105.739937685028,70,"Lacu"
2935,"Wonder Lake",63.4761163341765,-150.876076277519,61,"Lacu"
2262,"Lac Manitou",46.0598561257268,-74.3713967494983,287,"Lacu"
9862,"Bates Marsh",42.2728274204007,-81.8682478289795,47,"Palu"
975,"Harding Lake",64.4223266747316,-146.844811971841,226,"Lacu"
1127,"Jacob Lake",34.3005889750394,-110.887428906006,268,"Lacu"
758,"Eagle Lake",53.22332644615,-58.6088822052883,76,"Lacu"
10179,"Cranesville Pine Swamp",39.5434183700902,-79.4832950609504,255,"Palu"
1974,"Redondo Lake",67.7068321584086,-155.067725256586,100,"Lacu"
2271,"Seagull Lake",68.2460634266353,-145.181015040858,146,"Lacu"
790,"Etivlik Lake",68.1245498093383,-156.070220893726,151,"Lacu"
1742,"Nicol Lake",61.612500886585,-103.471449013619,59,"Lacu"
1826,"Lac Petel",50.5624577342814,-66.2918610511273,169,"Lacu"
1113,"Indian Lake",50.9244515857195,-90.4751491771947,42,"Lacu"
1658,"Baie des Onze Iles",46.7408851432811,-73.1064470599466,164,"Lacu"
1977,"Redstone Lake",67.2286206387689,-152.587878333892,157,"Lacu"
513,"Crowsnest Lake",68.3244857970781,-146.461799216678,182,"Lacu"
1709,"Lac Montagnais",47.9162612477321,-71.1954642245478,120,"Lacu"
808,"Fish Lake (CA:Nunavut)",73.0346353084462,-85.1955729241741,265,"Lacu"
2263,"Lac aux Quenouilles",46.166491607071,-74.37726427128,237,"Lacu"
1765,"Lake O'Hara",51.3558037008054,-116.332316628265,274,"Lacu"
2553,"Tioga Pass Pond",37.925283583015,-119.253008974101,214,"Lacu"
484,"Coghill Lake",53.9138336641272,-66.7754136139763,43,"Lacu"
1973,"Rebel Lake",67.4004144440769,-149.801521150257,145,"Lacu"
13657,"Lake SL06",68.5953407149766,-91.8726696575688,92,"Lacu"
2936,"Woodcliff Lake",41.0196126574528,-74.0444319130609,36,"Lacu"
992,"Headwaters Lake",67.9345902078858,-155.03640471958,170,"Lacu"
2529,"Swamp Lake",37.9500749686846,-119.829311561509,37,"Lacu"
1699,"Minakokosa Lake",66.926123646732,-155.025489568989,112,"Lacu"
1920,"Puyuk Lake",63.5029268900675,-162.211883986381,296,"Lacu"
789,"Lac à la Fourche",47.6027511727714,-70.6060287112358,85,"Lacu"
1104,"Humber Pond 7",43.645693519806,-79.4896181494977,253,"Lacu"
1071,"Hidden Lake",63.9476839332535,-144.664892960482,63,"Lacu"
505,"Cranberry Glades",38.2025551363758,-80.2737497533825,160,"Palu"
263,"Banks Island 74MS15",73.5344001404013,-120.206878398098,96,"Lacu"
1358,"Tourbière du lac Joncas",47.2578683355657,-71.1726179407233,21,"Lacu"
331,"Carbuncle Pond",41.6984915658508,-71.7738258108953,158,"Lacu"
232,"Barry Lake",44.3076542554331,-77.9223000095445,163,"Lacu"
