SiteID,site.name,long,lat,state,GNIS_NAME,GNIS_ID,AREASQKM,dist_match,data_source,AREAHA
275,BL-Tombigbee,-88.474444,33.563333,AL,NA,NA,NA,NA,http://prd-tnm.s3-website-us-west-2.amazonaws.com/StagedProducts/Hydrography/NHD/State/HighResolution/Shape/NHD_H_Alabama_Shape.zip,NA
321,Cahaba Pond,-86.533333,33.5,AL,NA,NA,NA,NA,http://prd-tnm.s3-website-us-west-2.amazonaws.com/StagedProducts/Hydrography/NHD/State/HighResolution/Shape/NHD_H_Alabama_Shape.zip,NA
940,Goshen Springs,-86.134167,31.721111,AL,NA,NA,0.064,NA,http://prd-tnm.s3-website-us-west-2.amazonaws.com/StagedProducts/Hydrography/NHD/State/HighResolution/Shape/NHD_H_Alabama_Shape.zip,6.4
10357,Lake Shelby,-87.66485,30.260064999999997,AL,Shelby Lakes,00153402,2.31,NA,http://prd-tnm.s3-website-us-west-2.amazonaws.com/StagedProducts/Hydrography/NHD/State/HighResolution/Shape/NHD_H_Alabama_Shape.zip,231
10414,Weeks Bay,-87.83389,30.41041,AL,NA,NA,NA,NA,http://prd-tnm.s3-website-us-west-2.amazonaws.com/StagedProducts/Hydrography/NHD/State/HighResolution/Shape/NHD_H_Alabama_Shape.zip,NA
10414,Weeks Bay,-87.83389,30.41041,AL,NA,NA,NA,NA,http://prd-tnm.s3-website-us-west-2.amazonaws.com/StagedProducts/Hydrography/NHD/State/HighResolution/Shape/NHD_H_Alabama_Shape.zip,NA
207,Angal Lake,-153.9,67.133333,NA,NA,NA,NA,NA,NA,NA
513,Crowsnest Lake,-146.483333,68.333333,NA,NA,NA,NA,NA,NA,NA
790,Etivlik Lake,-156.033333,68.133333,NA,NA,NA,NA,NA,NA,NA
846,Glacial Lake,-166.266667,64.866667,NA,NA,NA,NA,NA,NA,NA
975,Harding Lake,-146.9075,64.444444,NA,NA,NA,NA,NA,NA,NA
992,Headwaters Lake,-155.05,67.933333,NA,NA,NA,NA,NA,NA,NA
993,Healy Lake,-144.75,64,NA,NA,NA,NA,NA,NA,NA
1071,Hidden Lake,-144.658333,63.94,NA,NA,NA,NA,NA,NA,NA
1355,Joe Lake,-157.216667,66.766667,NA,NA,NA,NA,NA,NA,NA
1357,Johnson River Bog,-144.65,63.711111,NA,NA,NA,NA,NA,NA,NA
1396,Kaiyak Lake,-161.416667,68.15,NA,NA,NA,NA,NA,NA,NA
1503,Kollioksak,-156.45,66.966667,NA,NA,NA,NA,NA,NA,NA
1585,Lily Lake,-135.4,59.2,NA,NA,NA,NA,NA,NA,NA
1699,Minakokosa Lake,-155.033333,66.916667,NA,NA,NA,NA,NA,NA,NA
1723,Munday Creek,-141.966667,60.033333,NA,NA,NA,NA,NA,NA,NA
1748,Niliq Lake,-160.433333,67.866667,NA,NA,NA,NA,NA,NA,NA
1818,Ped Pond,-142.066667,67.2,NA,NA,NA,NA,NA,NA,NA
1920,Puyuk Lake,-162.2,63.5,NA,NA,NA,NA,NA,NA,NA
1955,Ranger Lake,-153.65,67.147222,NA,NA,NA,NA,NA,NA,NA
