stid,dsid,site.name,lat,long,edited,notes,area,type,delta
503,516,Cranberry Lake,44.77103224102957,-79.05119426991953,2,"Confirmed lake with Google Earth, changed area",481.9,Lacu,1.164
1733,1791,Nedlouc,57.378862869646035,-72.78040478454207,2,"Confirmed site with Google Earth, changed area",17002.2,Lacu,1.162
1598,3482,Lake of the Clouds,48,-91.116667,1,Confirmed lake: site description; Area: Swain 1973,12.5,Lacu,0.143
5803,15929,Hiscock Site,43.084999651797965,-78.08115574299458,1,Confirmed site with publication (McAndrews 2003) and changed area,12,Palu,0.118
1756,1814,No Bottom Pond,41.2847805860928,-70.11403832166286,2,"Confirmed site with Google Earth, changed area",2.6,Lacu,0.094
2241,3609,Sagehen Marsh,37.50667323060378,-108.5688611303411,1,"Confirmed site with pub (Peterson et al, 1994), changed are",79,Palu,0.073
1766,1824,West Okoboji Lake,43.37166757960341,-95.14805027741983,1,"Confirmed location, changed area",2972.8,Lacu,0.065
324,331,Camel Lake,30.27487791053863,-84.98923875943306,1,"Confirmed site with Google Earth, changed area",35,Lacu,0.029
10080,15153,Wendel site,46.4111071985981,-98.27043517169739,1,"Confirmed site and area with publication (Yansa, Dean, Murphy 2007)",976,Lacu,0.029
1396,1432,Kaiyak Lake,68.14320533244256,-161.4387712146683,2,"Confirmed site with Google Earth, changed area",86,Lacu,0.023
1115,1149,Inglesby Lake,44.46257349593272,-77.04868800790355,1,"Confirmed site with pub (Fritz et al, 1987), changed area",48,Lacu,0.021
518,532,Cub Lake,44.71798959397961,-84.95334172572005,2,"Confirmed with Google Earth, changed area",46.7,Lacu,0.019
2258,2338,San Joaquin Marsh,33.66349632500002,-117.84010296489184,1,"Confirmed site with Google Earth, changed area",168.2,Marsh,0.019
2270,2351,Screaming Yellowlegs Pond,67.56908672211061,-151.40492067771743,1,"Confirmed site and area with pub (Edwards et al, 1985)",68,Lacu,0.018
1677,1733,Lac Mélèze,65.21072823796844,-126.13216371824058,2,"Confirmed site with pub (MacDonald 1987), changed area",32,Lacu,0.017
1550,1591,Lake EC1,56.280311619006554,-75.11528280648571,1,Confirmed site and area with publication (Gajewski 1993),4,Lacu,0.016
1818,1882,Ped Pond,67.19024414768762,-142.05468794172813,2,"Confirmed site with pub (Edwards et al. 1986), changed area",34,Lacu,0.015
1955,2025,Ranger Lake,67.13583793936631,-153.65926950937703,1,"Confirmed site with pub (Brubaker et al, 1983), changed area",14,Lacu,0.015
957,987,Grey Islands,50.76746093304696,-55.530452424201734,1,"Confirmed site with pub (Evans 2002), changed area",54,Lacu,0.014
2549,2639,Petit Lac Terrien,46.58588089459549,-70.60868644496549,1,"Confirmed site with Google Earth, changed area",26,Lacu,0.013
1806,1868,Paynter Marsh,44.1035842566706,-78.32787833389152,1,"Confirmed site with pub (Yu et al, 1996), changed area",33,Palu,0.013
2232,2311,Ruppert Lake,67.07035647036672,-154.24462754065632,1,"Confirmed site, changed area",38,Lacu,0.012
2274,3620,Seidel,44.445113285568674,-87.52621593578357,1,"Confirmed site with Google Earth, changed area",9.6,Lacu,0.012
2308,2391,Sinkhole Pond,43.96030291044169,-70.34068295467745,1,"Confirmed site with Google Earth, changed area",2.8,Lacu,0.011
943,973,Graham Lake,45.19030585597529,-77.35713039182849,1,"Confirmed site with Google Earth, changed area",67,Lacu,0.01
1721,1778,Mud Lake,46.866667,-94.75,1,Confirmed lake: description and Almendinger 1992,28.5,Lacu,0.009
2795,2892,Upper South Branch Pond,46.0884903401334,-68.89288745995334,1,Used as example in README,36,Lacu,0.009
656,672,Decoy Lake,43.24135007597988,-80.3674751110739,1,"Confirmed site with pub (Szeicz 1991), changed area",3,Lacu,0.008
1651,1707,Mariposa Lake,44.15196458488104,-110.24080565063622,1,"Confirmed site with Google Earth, changed area",11.6,Lacu,0.008
982,1013,Hay Lake,34.00274873919519,-109.4325582153382,1,"Confirmed site with Google Earth, Area looks highly variable by season",2.8,Lake,0.008
9944,14797,South Bog,44.72234769573964,-67.20884702838396,2,Confirmed bog; assuming correct location,1,Palu,0.008
317,324,Burden Lake,42.599443342271506,-73.56096268653721,2,"Confirmed site with Google Earth, changed area",42,Lacu,0.007
489,501,Compass Pond,50.034252494553634,-56.18899240687659,2,"Confirmed site with pub (Dyer 1986), changed area",76,Lacu,0.007
1712,1769,18 [Moraine Lake],52.264877843558374,-58.04368960323179,1,"Confirmed site with pub (Engstrom et al 1985), changed area",57,Lacu,0.007
2272,2353,Second Lake,44.844186306070206,-79.97875218143002,1,"Confirmed site with pub (Burden et al, 1986), changed area",70,Lacu,0.006
13899,21319,Lac Triangle,48.704581521616554,-65.41356008231747,1,"Confirmed site with Google Earth, changed area",82,Lacu,0.006
6507,10971,Ocheda Lake,43.5756447033252,-95.59290146345906,1,"Site description: kettle lake, Measured the central basin",78.5,Lacu,0.006
2302,2384,Silver Lake,44.55694002891963,-63.641916410987385,1,"Confirmed site with Google Earth, changed area",2.8,Lacu,0.006
25,25,Alexis Lake,52.51939381810244,-57.027731591820356,1,"Moved into lake, but there is no publication.",85,Lacu,0.006
206,206,Andy Lake,64.64501123527644,-128.08042026774658,1,Minor nudge,45,Lacu,0.006
2536,2626,Tannersville Bog,41.033333,-75.266667,2,Confirmed bog and area: Cai and Yu 2011,300,Palu,0.006
6514,10976,Goose Lake,44.98817893991222,-94.58660755968755,1,Site description: kettle lake,53,Lacu,0.005
1899,1964,Porphyry Lake,48.90879761341692,-123.82931621260329,1,Confirmed site and area with publication (Brown and Hebda 2003),0.4,Lacu,0.005
10158,15298,Devlins Park,40.00069151468075,-105.56189479584722,1,"Confirmed site with pub (Madole 1980), changed area",41,Pal?,0.005
826,852,Fresh Pond,41.160208343764815,-71.57873632531813,1,"Confirmed site with Google Earth, changed area",28,Lacu,0.004
1794,1856,Park Pond 3,43.46259839181149,-109.92239581165438,1,"Confirmed site with pub, changed area, (Two points on map, use southernmost  one)",0.3,Lacu,0.004
14044,21800,Grassy Lake,37.429156257599296,-89.38153889693565,2,"Confirmed site, changed area (varies seasonally)",141.4,Lacu,0.004
11584,17347,St. Lawrence Island Section 3,63.67350942955655,-171.58641282332368,1,"Confirmed site with pub (Lozhkin et al, 1998), Peat Exposure",87,Palu,0.004
1759,1817,North Pond,42.65,-73.05,1,"Confirmed Lake, Changed Area",15.1,NA,0.004
1544,1584,Lake Ann,45.425,-93.6875,2,"Confirmed lake: descripiton, Keen and Shane 1990",58.5,Lacu,0.003
2560,2651,Tonawa Lake,44.850350488010086,-77.17802328613529,1,"Confirmed site with Google Earth, changed area",7.4,Lacu,0.003
2947,3046,Lac Yelle,48.50703848753088,-79.63782553594552,1,"Confirmed site with Google Earth, changed area",6.6,Lacu,0.003
828,855,Fudger Lake,40.1026070526556,-83.53408882153383,2,"Confirmed lake with Google Earth, changed area",1.4,Lacu,0.003
1725,3495,Muscotah Marsh,39.528625084087274,-95.51584052112635,1,"Confirmed site with pub (Gruger 1973), changed area",15,Palu,0.003
728,3130,Heart Lake,44.180556,-73.9675,1,"Confirmed Lake, Changed Area",20.7,NA,0.003
10284,15594,Taquitz Meadow,33.76837311917305,-116.6657102782317,1,"Confirmed site with Google Earth, changed area",19,Lacu,0.002
6515,10977,Olson Lake,46.51134639278445,-93.65845963367998,1,Site descirption: kettle lake,5.5,Lacu,0.002
10132,15252,Ozawindib Lake,47.23023564745738,-95.2719312192457,1,"Confirmed lake, site description: kettle lake",48,Lacu,0.002
10427,15914,Allen Lake,46.224199094271206,-89.1721982321848,1,"Confirmed lake, site description",31,Lacu,0.002
1954,2023,Ramsay Lake,45.598004415089164,-76.09966724838135,1,Confirmed site with Google Earth. changed area,21.3,Lacu,0.002
2856,2953,Whyac Lake,48.67198656609888,-124.84216227461488,1,"Confirmed site with publication (Brown and Hebda 202), changed area",5.5,Lacu,0.002
344,352,Cedar Bog,45.41051031979665,-93.19933259598123,1,"Confirmed site with Google Earth, changed area",3,Lacu,0.002
1481,1518,Kinsman Pond,44.135712651955735,-71.73301213236773,1,"Confirmed site with Google Earth, changed area",3.6,Lacu,0.002
13680,20833,Chihuahuenos Bog,36.04763416594924,-106.51017564207969,1,"Confirmed site with pub (Anderson et al. 2008), changed area",51,Palu,0.002
1705,1761,Molas Lake,37.745833,-107.683611,2,Compiled from Hydrological database.,9.5,NA,0.002
1957,2028,Rattle Lake,49.34969807420909,-92.69926556964165,1,"Confirmed site with pub (Bjorck, 1985), changed area",2,Lacu,0.001
1559,1603,Lake LT1,58.14184576908452,-75.15068808281146,1,"Confirmed site with publication (Gajewski 1992), changed area",0.5,Lacu,0.001
757,776,Eagle Lake Bog,44.166938080845675,-71.66728021369725,1,"Confirmed site, changed area",1,Palu,0.001
8,8,Abalone Rocks Marsh,33.95581984354922,-119.97763324291098,1,Moved into the marsh proper based on pictures and aerial imagery,2.7,Palu,0.001
11643,17476,McCall Glacier,69.2950361111111,-143.790030555556,2,"Its a glacier, I measured the upper lobe.",84,Glac,0
9893,14682,Roque Island Hollow,44.573075,-67.53069500000001,2,Site description and Schauffler 2002 for area,0.1,Hollow,0
667,685,Devon Island Glacier,75.34999999999998,-82.49999999999999,2,"Confirmed site with Google Earth, changed area",25,Ice,0
11855,17947,Little Shingobee Lake,46.994015,-94.694575,2,Confirmed lake and location: Dean and Doner 2012,4.3,Lacu,0
254,260,Berry Pond,42.5,-73.316667,1,Confirmed location and area: Whitehead 1979,3.9,Lacu,0
291,297,Bog A Pond,47.17548,-95.16745499999999,2,Assumed correct location in pond (unlabeled),0.8,Lacu,0
299,305,Bossuot Lake,44.296475,-93.73571000000001,2,"Confirmed lake, site description: kettle lake",40.1,Lacu,0
325,332,Camp 11 Lake,46.666667,-88.016667,1,Confirmed lake and area: Brubaker 1975,1.5,Lacu,0
326,333,Camp 12 Lake,45.986111,-89.375,1,Site description: lage. Area: Kingston et al 1990,35,Lacu,0
478,489,Clear Lake,43.12507,-93.42973,2,Confirmed lake: Baker et al 1992,1469.8,Lacu,0
841,869,George Lake,44.2329,-93.87066,2,"Confirmed lake, site description: kettle lake",35,Lacu,0
968,999,Hack Pond,37.984722,-78.997222,2,Confirmed location: Craig 1969,2,Lacu,0
999,1032,Hemo Pond,47.133,-95.47461,2,Assumed correct location in lake (unlabeled),15.2,Lacu,0
1105,1138,Hustler Lake,48.233333,-92.158333,1,Site description. Area: Kingston et al 1990,109,Lacu,0
1409,1446,Kegan Lake,44.75836,-93.11674,2,"Confirmed lake, site description",11.4,Lacu,0
1526,1564,Kylen Lake,47.35,-91.8,1,Confirmed lake and area from Birks 1981,3.5,Lacu,0
1530,1568,Lake Lacawac,41.381944,-75.292778,2,Confirmed lake: description and Russel et al 1993,20.7,Lacu,0
1613,1665,Lost Lake,46.719435000000004,-87.97207,2,Confirmed loc. Changed area: Brubaker 1975,1,Lacu,0
1679,1735,Lake Mendota,43.1,-89.416667,2,"Confirmed lake, Winkler 1986",3961.2,Lacu,0
1701,3492,Lake Minnie,47.244755,-95.00771499999999,2,Confirmed lake: description and Almendinger 1992,30.1,Lacu,0
1724,1781,Murphy Lake,44.711625,-93.341105,2,Confirmed lake: site description,19.1,Lacu,0
1732,1789,Natural Lake,34.663333,-95.386111,3,Could not find publications.,5428.6,Lacu,0
1736,1794,Nelson Pond,46.40707,-92.68658500000001,2,Confirmed pond: Jacobson 1979. Assumed correct loc,0.9,Lacu,0
1815,3788,Third Lake,48.098755,-92.010535,2,Confirmed lake: site description,17.3,Lacu,0
1820,1884,Pennington Lake,45.780556,-93.273056,2,"Confirmed lake, site description: kettle lake",51.5,Lacu,0
1891,1955,Pleasant Lake,44.605869999999996,-93.563475,2,"Confirmed lake, site description: kettle lake",111.7,Lacu,0
1936,2003,Quarles Pond,37.995833,-79.072222,2,Confirmed location: Craig 1969,2.1,Lacu,0
