stid,dsid,lat,long,name,area,source,edited,notes
7,7,47,-80.116667,Three Pines Bog,10748.78268274701,Geographic matching,2,NA
24,24,53.333333,-60.583333,Alexander Lake,38,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Used paper & Google Maps.
25,25,52.516667,-57.033333,Alexis Lake,85,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,"Moved into lake, but there is no publication."
27,27,54.583333,-57.366667,Aliuk Pond,9.1,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Moved point based on map & site description in paper.
206,206,64.65,-128.083333,Andy Lake,45,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Minor nudge
208,209,47.481667,-70.684722,Lac à l'Ange,5.8,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Full site name is Petit lac Ã  l'Ange. Nudged site.
217,219,45.543056,-73.311111,Lac des Atocas,0.6,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Minor move.
219,221,45.38,-79.51,Axe Lake,508.2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
233,236,47.23,-79.78,Baseball Bog,10.121710709942498,Geographic matching,2,NA
235,238,46.4,-78.916667,Lac Bastien,19.2,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site with publication (name might have changed since '87), changed area"
248,253,65.016667,-127.483333,Bell's Lake,1.2,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site with publication and Google Earth, changed area"
252,258,54.047222,-76.120278,Bereziuk,3.221614087118031,Geographic matching,2,NA
261,267,71.75,-124.266667,Banks Island 74MS11,1485901.8102861173,Geographic matching,2,NA
296,302,55.575,-119.433333,Boone Lake,167,data/by_hand/all_lakes_andria/andrea_areas.csv,2,Seems in the right place
297,303,55.333333,-63.2,Border Beacon,130,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Confimred site and area with publication
300,306,47.457778,-69.452778,Lac Boucané,14.875232285014244,Geographic matching,2,NA
304,311,54.355833,-70.357778,Brisay 2,2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Seems very likely, but can't confirm completely."
319,326,46.279167,-70.595833,Lac à la Busque,23,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Minor move.
322,329,45.961111,-73.868056,Saint-Calixte,2.4,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
