stid,dsid,lat,long,name,area,source,edited,notes,avg_int,max_int,controls
7,7,47,-80.116667,Three Pines Bog,10748.78268274701,Geographic matching,2,NA,2143.3333333333335,3430,4
24,24,53.333333,-60.583333,Alexander Lake,38,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Used paper & Google Maps.,-685,1890,4
25,25,52.516667,-57.033333,Alexis Lake,85,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,"Moved into lake, but there is no publication.",5122.5,6070,5
27,27,54.583333,-57.366667,Aliuk Pond,9.1,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Moved point based on map & site description in paper.,4915,4915,2
206,206,64.65,-128.083333,Andy Lake,45,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Minor nudge,3015,5770,5
208,209,47.481667,-70.684722,Lac à l'Ange,5.8,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Full site name is Petit lac Ã  l'Ange. Nudged site.,1571.4285714285713,3150,8
217,219,45.543056,-73.311111,Lac des Atocas,0.6,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Minor move.,2562.5,3275,5
219,221,45.38,-79.51,Axe Lake,508.2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area",2953.3333333333335,4800,4
222,224,78.491667,-76.78,Baird Inlet [Rock Basin Lake],146,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Hyvarinen, 1985",2999.6666666666665,4109,4
232,235,44.3,-77.916667,Barry Lake,110,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",3163.3333333333335,4670,4
233,236,47.23,-79.78,Baseball Bog,10.121710709942498,Geographic matching,2,NA,3203.3333333333335,6340,4
235,238,46.4,-78.916667,Lac Bastien,19.2,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site with publication (name might have changed since '87), changed area",1911,2310,6
241,244,65.216667,-127.05,Beach Lake,91,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Rowe, et al 1975",2874,2874,2
242,245,47.18,-80.16,Bear Bog,188,data/by_hand/claire_data/dataset_1.5.shp,1,"Bog, confirmed with Gordon, 2013",3346.6666666666665,5540,4
248,253,65.016667,-127.483333,Bell's Lake,1.2,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site with publication and Google Earth, changed area",2046,3140,6
252,258,54.047222,-76.120278,Bereziuk,3.221614087118031,Geographic matching,2,NA,1925,3230,5
257,3471,57.116667,-76.378333,Lake BI2,16,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site with Gajewski and Garralla 1992",1752.5,2670,5
261,267,71.75,-124.266667,Banks Island 74MS11,1485901.8102861173,Geographic matching,2,NA,3016.6666666666665,4500,4
262,268,72.366667,-119.833333,Banks Island 74MS12,NA,NA,NA,NA,3016.6666666666665,4500,4
263,269,73.533333,-120.216667,Banks Island 74MS15,NA,NA,NA,NA,3016.6666666666665,4500,4
270,276,48.936111,-55.505556,Bishops Falls,106,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, confirmed with Macpherson 1995",4816,6372,3
294,300,42.088056,-82.6375,Bondi Section,268,data/by_hand/claire_data/dataset_1.5.shp,1,Paleolacustrine? Recorded area of the excavation site,75,75,2
296,302,55.575,-119.433333,Boone Lake,167,data/by_hand/all_lakes_andria/andrea_areas.csv,2,Seems in the right place,1675.4285714285713,3458,8
297,303,55.333333,-63.2,Border Beacon,130,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Confimred site and area with publication,1300,1750,6
300,306,47.457778,-69.452778,Lac Boucané,14.875232285014244,Geographic matching,2,NA,3046.6666666666665,4670,4
301,307,55.25,-67.4,Boundary Lake,NA,NA,NA,NA,2060,3420,3
304,311,54.355833,-70.357778,Brisay 2,2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Seems very likely, but can't confirm completely.",2990,4350,3
305,312,43.22,-81.73,Brophy Ditch,25,data/by_hand/claire_data/dataset_1.5.shp,1,"Terrestrial, Confirmed with Morgan, et al. 2013",2632.5,5420,5
319,326,46.279167,-70.595833,Lac à la Busque,23,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Minor move.,9100,9100,2
322,329,45.961111,-73.868056,Saint-Calixte,2.4,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area",3251.6666666666665,6135,4
329,336,61.683333,-130.65,Candelabra Lake,1958.0199397180688,Geographic matching,2,NA,-106.66666666666667,2100,13
330,337,47.639722,-71.235833,Tourbière Caribou,75,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, bog, confirmed with pub",2572.5,2875,3
332,339,48.197778,-64.94,Lac Caribou,2.6,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Small nudge, but no real clear map in the figure.",2166.6666666666665,4010,7
334,341,55.666667,-63.25,Caribou Hill,65,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Confirmed area with publication, unable to confirm exact location of lake",1224,1435,6
338,346,46.613889,-72.998611,Lac Castor,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,3,No Publication but nearby lake named lac Castor,-420,2200,7
353,361,45.651389,-60.675,Chase Pond,31,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed with Mayle and Cwynar 1995",962,1440,6
361,371,54.799444,-76.145556,Chism 1,1.8,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,"So many small lakes in the area,",5465,5465,2
362,373,53.090833,-76.339167,Chism 2,4.7,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,Too many local lakes,6430,6430,2
370,381,59.516667,-122.166667,Lac Ciel Blanc,120,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site with MacDonald and Cwynar 1991",1988.6,4123,6
481,493,50.873611,-107.933333,Clearwater Lake,59.84096264278991,Geographic matching,2,NA,3240,6430,3
484,496,53.9,-66.766667,Coghill Lake,272,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site with Google Earth",1266.2,3381,6
488,500,49.69,-57.71,Comb Lake,6,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, Confirmed with Lowdon, et al. 1979",7796,7796,2
489,501,50.034167,-56.196389,Compass Pond,76,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,"Confirmed site with pub (Dyer 1986), changed area",1664,2084,7
495,507,67.833333,-115.316667,Coppermine Saddleback,NA,NA,NA,NA,928.75,1990,5
496,508,48.966944,-65.95,Lac Côté,31,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Slight nudge.  No pub, but in park is Lac Charles Cote.",9810,9810,2
498,510,45.960833,-73.341944,Tourbière de Lanoraie COTEAU JAUNE,340,data/by_hand/empty_lakes_sjg/empty_lakes_sjg.shp,3,"Publication is in French (sjg - found pub, added area based on hydrology)",1298,3660,6
499,511,52.866667,-118.1,Cottonwood Slough,24,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,In dissertation but checked Jasper Park Maps.,NA,NA,NA
503,516,44.1,-78.1,Cranberry Lake,481.9,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,2,"Confirmed lake with Google Earth, changed area",1861.4285714285713,3612,8
506,519,49.183333,-81.266667,Crates Lake,11.404747450843768,Geographic matching,2,NA,1760,3820,6
507,520,43.468275,-79.94872,Crawford Lake,2.4,Neotoma,2,NA,878.5,1738,3
